iter	Passed	Remaining
0	154	154069
1	156	78142
2	158	52557
3	159	39780
4	161	32071
5	162	26919
6	164	23273
7	165	20505
8	166	18359
9	168	16632
10	169	15251
11	171	14114
12	172	13120
13	174	12261
14	175	11518
15	177	10897
16	178	10322
17	179	9811
18	181	9375
19	183	8985
20	184	8623
21	186	8296
22	188	7987
23	189	7697
24	190	7433
25	191	7192
26	193	6967
27	194	6755
28	195	6559
29	197	6386
30	199	6228
31	201	6081
32	202	5929
33	203	5789
34	205	5662
35	206	5534
36	208	5414
37	209	5307
38	211	5213
39	213	5123
40	215	5041
41	217	4950
42	218	4858
43	219	4770
44	220	4685
45	222	4606
46	223	4530
47	224	4455
48	226	4390
49	228	4335
50	229	4274
51	230	4210
52	232	4156
53	234	4107
54	235	4051
55	237	4000
56	239	3957
57	240	3908
58	242	3874
59	244	3832
60	246	3794
61	248	3754
62	249	3714
63	251	3674
64	252	3635
65	254	3597
66	256	3575
67	259	3552
68	261	3527
69	263	3503
70	265	3474
71	267	3444
72	269	3416
73	271	3393
74	273	3371
75	275	3347
76	277	3325
77	279	3305
78	281	3279
79	283	3256
80	285	3238
81	287	3218
82	288	3189
83	290	3172
84	292	3150
85	294	3128
86	296	3106
87	297	3085
88	299	3061
89	301	3044
90	302	3025
91	304	3006
92	306	2991
93	309	2981
94	311	2969
95	313	2955
96	316	2943
97	318	2929
98	319	2911
99	321	2892
100	322	2874
101	324	2856
102	325	2838
103	327	2821
104	329	2806
105	331	2794
106	333	2783
107	335	2771
108	337	2758
109	341	2759
110	343	2750
111	345	2740
112	348	2731
113	349	2718
114	351	2706
115	353	2694
116	355	2681
117	357	2669
118	358	2656
119	360	2646
120	362	2634
121	364	2621
122	365	2609
123	367	2597
124	369	2583
125	370	2571
126	372	2557
127	373	2547
128	375	2538
129	378	2531
130	380	2525
131	382	2516
132	384	2508
133	387	2506
134	400	2568
135	402	2559
136	414	2609
137	418	2611
138	420	2601
139	422	2596
140	424	2588
141	426	2578
142	428	2567
143	430	2560
144	432	2548
145	434	2540
146	438	2541
147	439	2532
148	441	2523
149	443	2513
150	445	2502
151	446	2493
152	449	2488
153	452	2487
154	454	2475
155	455	2464
156	456	2452
157	463	2471
158	467	2473
159	471	2476
160	472	2463
161	474	2452
162	483	2481
163	485	2476
164	487	2467
165	489	2459
166	491	2450
167	492	2440
168	496	2441
169	499	2437
170	501	2429
171	502	2420
172	504	2413
173	507	2407
174	509	2400
175	511	2394
176	513	2386
177	515	2379
178	517	2371
179	518	2361
180	520	2355
181	522	2348
182	524	2340
183	526	2336
184	528	2328
185	530	2320
186	531	2311
187	533	2304
188	535	2296
189	536	2287
190	537	2278
191	540	2273
192	543	2271
193	545	2265
194	547	2259
195	549	2252
196	550	2245
197	552	2238
198	556	2240
199	558	2232
200	560	2226
201	561	2219
202	563	2212
203	564	2203
204	566	2196
205	567	2187
206	569	2182
207	571	2177
208	573	2170
209	575	2163
210	576	2155
211	578	2149
212	580	2143
213	581	2137
214	584	2133
215	586	2128
216	588	2122
217	589	2114
218	590	2106
219	591	2098
220	593	2091
221	595	2086
222	597	2080
223	598	2074
224	600	2069
225	602	2062
226	603	2055
227	605	2048
228	606	2041
229	607	2034
230	608	2026
231	610	2020
232	611	2014
233	614	2009
234	615	2004
235	617	1999
236	619	1993
237	620	1986
238	622	1981
239	623	1975
240	625	1969
241	626	1962
242	627	1956
243	629	1951
244	631	1947
245	633	1941
246	635	1935
247	636	1929
248	637	1923
249	639	1917
250	640	1911
251	642	1906
252	644	1902
253	646	1898
254	648	1893
255	649	1887
256	651	1882
257	652	1876
258	653	1871
259	655	1865
260	656	1860
261	659	1856
262	661	1852
263	662	1848
264	664	1842
265	665	1836
266	667	1831
267	668	1825
268	670	1820
269	671	1815
270	672	1809
271	674	1805
272	676	1800
273	677	1795
274	679	1791
275	681	1787
276	683	1782
277	684	1777
278	685	1772
279	687	1766
280	689	1763
281	691	1760
282	693	1756
283	694	1751
284	696	1747
285	698	1743
286	700	1740
287	702	1736
288	704	1732
289	706	1729
290	708	1725
291	709	1720
292	711	1716
293	713	1712
294	714	1706
295	715	1701
296	716	1696
297	718	1691
298	719	1687
299	721	1683
300	722	1678
301	724	1674
302	725	1669
303	727	1664
304	728	1659
305	729	1654
306	730	1649
307	732	1644
308	733	1640
309	735	1636
310	736	1632
311	738	1628
312	740	1624
313	741	1619
314	742	1614
315	743	1609
316	745	1605
317	746	1600
318	747	1595
319	749	1591
320	750	1587
321	752	1583
322	753	1579
323	755	1576
324	757	1572
325	758	1567
326	759	1563
327	760	1558
328	761	1554
329	763	1549
330	764	1545
331	766	1542
332	768	1539
333	770	1535
334	771	1531
335	773	1527
336	774	1523
337	775	1519
338	777	1516
339	779	1512
340	781	1509
341	782	1506
342	784	1502
343	785	1498
344	787	1495
345	788	1491
346	790	1486
347	791	1482
348	792	1479
349	794	1475
350	795	1471
351	797	1468
352	799	1464
353	800	1460
354	801	1456
355	802	1452
356	804	1448
357	805	1445
358	807	1441
359	809	1438
360	811	1436
361	813	1433
362	814	1429
363	816	1427
364	818	1424
365	819	1420
366	821	1417
367	823	1414
368	825	1411
369	828	1411
370	832	1410
371	834	1409
372	836	1406
373	838	1403
374	841	1402
375	842	1398
376	844	1395
377	846	1392
378	847	1389
379	848	1385
380	850	1381
381	851	1378
382	853	1374
383	855	1371
384	856	1368
385	858	1365
386	860	1362
387	861	1358
388	862	1355
389	864	1352
390	865	1348
391	866	1344
392	868	1342
393	870	1339
394	872	1335
395	873	1332
396	875	1329
397	876	1326
398	878	1323
399	880	1321
400	882	1318
401	884	1316
402	886	1313
403	888	1310
404	890	1307
405	891	1304
406	893	1302
407	895	1299
408	897	1296
409	898	1293
410	900	1290
411	902	1288
412	904	1285
413	905	1282
414	907	1279
415	909	1276
416	911	1273
417	912	1271
418	915	1269
419	917	1266
420	918	1263
421	920	1260
422	921	1257
423	923	1254
424	924	1250
425	926	1248
426	928	1245
427	930	1242
428	931	1239
429	932	1236
430	934	1233
431	936	1230
432	937	1228
433	939	1225
434	940	1222
435	942	1219
436	944	1217
437	946	1214
438	948	1211
439	949	1208
440	950	1205
441	952	1202
442	953	1199
443	955	1196
444	957	1193
445	959	1191
446	960	1188
447	961	1185
448	963	1181
449	964	1178
450	966	1176
451	967	1173
452	969	1170
453	970	1167
454	972	1164
455	974	1162
456	975	1159
457	977	1156
458	979	1154
459	980	1151
460	982	1148
461	983	1145
462	985	1142
463	986	1139
464	988	1137
465	990	1134
466	991	1131
467	993	1128
468	994	1125
469	995	1122
470	997	1119
471	998	1116
472	999	1113
473	1001	1111
474	1002	1108
475	1004	1105
476	1005	1102
477	1007	1100
478	1008	1097
479	1010	1094
480	1012	1091
481	1013	1089
482	1015	1086
483	1016	1084
484	1018	1081
485	1020	1078
486	1021	1075
487	1022	1072
488	1024	1070
489	1025	1067
490	1026	1064
491	1028	1061
492	1029	1058
493	1031	1056
494	1032	1053
495	1034	1051
496	1035	1048
497	1037	1045
498	1038	1042
499	1039	1039
500	1041	1037
501	1043	1035
502	1045	1032
503	1046	1030
504	1048	1027
505	1050	1025
506	1051	1022
507	1053	1019
508	1055	1018
509	1057	1015
510	1059	1013
511	1060	1010
512	1063	1009
513	1065	1007
514	1067	1005
515	1069	1003
516	1071	1001
517	1073	999
518	1075	997
519	1077	994
520	1079	992
521	1081	990
522	1083	988
523	1085	986
524	1087	983
525	1089	982
526	1091	979
527	1093	977
528	1095	975
529	1097	973
530	1099	971
531	1101	968
532	1103	966
533	1105	964
534	1107	962
535	1109	960
536	1111	958
537	1113	955
538	1114	953
539	1116	951
540	1118	948
541	1120	946
542	1122	944
543	1123	942
544	1125	939
545	1127	937
546	1129	935
547	1131	933
548	1132	930
549	1134	928
550	1136	926
551	1138	923
552	1140	921
553	1141	919
554	1143	916
555	1144	914
556	1146	911
557	1148	909
558	1149	906
559	1151	904
560	1153	902
561	1154	899
562	1156	897
563	1157	894
564	1159	892
565	1160	890
566	1162	887
567	1164	885
568	1165	883
569	1167	880
570	1169	878
571	1170	876
572	1172	873
573	1173	870
574	1174	868
575	1176	866
576	1178	863
577	1179	861
578	1180	858
579	1182	856
580	1184	853
581	1185	851
582	1186	848
583	1188	846
584	1191	845
585	1194	843
586	1197	842
587	1199	840
588	1201	838
589	1202	835
